"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","architecture","backbone","base_learning_rate","batch_size","dataset_dir","dataset_name","dataset_stats/mean","dataset_stats/std","devices","epochs","eval_batch_size","eval_epochs","eval_learning_rate","eval_test_perc","eval_train_perc","eval_val_perc","eval_weight_decay","experiment_eval_name","experiment_name","img_size","learning_rate","log_dir","momentum","normalize","num_classes","num_workers","optimizer","pin_memory","prediction_head_hidden_dim","prediction_head_input_dim","prediction_head_output_dim","projection_head_hidden_dim","projection_head_input_dim","projection_head_num_layers","projection_head_output_dim","projection_head_type","rbfn_projection_head_normalize","run_name","ssl_non_trainable_params","ssl_trainable_params","temperature","test_perc","train_perc","use_mlflow","val_perc","weight_decay","weights","epoch","train_loss","val_loss"
"2026-01-19 03:13:54","1.1h","5bf8977493f8456ba861ab10fb84f3a5","00009","LOCAL","main.py","mlflow","FINISHED","swav","resnet50","0.6","2048","/mnt/datasets","OpenImagesV7-50","[0.4781086  0.44886943 0.41601361]","[0.2263493  0.22213829 0.22389417]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-50","rbfn-ssl-projector-default_open-images-v7-50","224","4.8","logs","0.9","True","50","32","LARS","True","","","","2048","2048","2","128","default","False","00009","0","28232896","","0.2","0.7","True","0.1","1e-06","DEFAULT","99","3.641395092010498","5.303023338317871"
"2026-01-19 02:16:29","50.2min","54d5f0c8d802425eb54c4768bcd4c423","00008","LOCAL","main.py","mlflow","FINISHED","byol","resnet50","0.2","2048","/mnt/datasets","OpenImagesV7-50","[0.4781086  0.44886943 0.41601361]","[0.2263493  0.22213829 0.22389417]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-50","rbfn-ssl-projector-default_open-images-v7-50","224","1.6","logs","0.9","True","50","32","LARS","True","4096","256","256","4096","2048","2","256","default","False","00008","32953664","35059264","","0.2","0.7","True","0.1","1.5e-06","DEFAULT","99","'-0.9029875993728638","'-0.8491137027740479"
"2026-01-19 01:25:34","43.7min","3d222d467b694940954359d2bac5650d","00007","LOCAL","main.py","mlflow","FINISHED","moco","resnet50","0.03","256","/mnt/datasets","OpenImagesV7-50","[0.4781086  0.44886943 0.41601361]","[0.2263493  0.22213829 0.22389417]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-50","rbfn-ssl-projector-default_open-images-v7-50","224","0.03","logs","0.9","True","50","32","SGD","True","","","","2048","2048","4","128","default","False","00007","36359360","36359360","0.2","0.2","0.7","True","0.1","0.0001","DEFAULT","99","4.185678482055664","4.210577487945557"
"2026-01-19 00:36:26","41.9min","e647d843f0804a9ba2bdf6bdb3db913d","00006","LOCAL","main.py","mlflow","FINISHED","moco","resnet50","0.03","256","/mnt/datasets","OpenImagesV7-50","[0.4781086  0.44886943 0.41601361]","[0.2263493  0.22213829 0.22389417]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-50","rbfn-ssl-projector-default_open-images-v7-50","224","0.03","logs","0.9","True","50","32","SGD","True","","","","2048","2048","3","128","default","False","00006","32163008","32163008","0.2","0.2","0.7","True","0.1","0.0001","DEFAULT","99","4.191569805145264","4.207756996154785"
"2026-01-18 23:47:49","41.3min","c4adf49ff8ec400896795c060ffe0aaa","00005","LOCAL","main.py","mlflow","FINISHED","moco","resnet50","0.03","256","/mnt/datasets","OpenImagesV7-50","[0.4781086  0.44886943 0.41601361]","[0.2263493  0.22213829 0.22389417]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-50","rbfn-ssl-projector-default_open-images-v7-50","224","0.03","logs","0.9","True","50","32","SGD","True","","","","2048","2048","2","128","default","False","00005","27966656","27966656","0.2","0.2","0.7","True","0.1","0.0001","DEFAULT","99","4.18472146987915","4.201752662658691"
"2026-01-18 23:02:43","37.7min","a9f0be91f81c4c75a20ee2dcb8f72373","00004","LOCAL","main.py","mlflow","FINISHED","simsiam","resnet50","0.05","512","/mnt/datasets","OpenImagesV7-50","[0.4781086  0.44886943 0.41601361]","[0.2263493  0.22213829 0.22389417]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-50","rbfn-ssl-projector-default_open-images-v7-50","224","0.1","logs","0.9","True","50","32","SGD","True","512","2048","2048","2048","2048","2","2048","default","False","00004","0","38199360","","0.2","0.7","True","0.1","0.0001","DEFAULT","99","'-0.8756842613220215","'-0.8669870495796204"
"2026-01-18 22:14:49","40.7min","9ee146e7da4b4d098ecb71cca202be04","00003","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","OpenImagesV7-50","[0.4781086  0.44886943 0.41601361]","[0.2263493  0.22213829 0.22389417]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-50","rbfn-ssl-projector-default_open-images-v7-50","224","2.4","logs","0.9","True","50","32","LARS","True","","","","2048","2048","4","128","default","False","00003","0","36359360","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","6.628170967102051","6.688433647155762"
"2026-01-18 21:26:28","41.1min","dc86af80d5a44310ad6ebe856fb26f52","00002","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","OpenImagesV7-50","[0.4781086  0.44886943 0.41601361]","[0.2263493  0.22213829 0.22389417]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-50","rbfn-ssl-projector-default_open-images-v7-50","224","2.4","logs","0.9","True","50","32","LARS","True","","","","2048","2048","3","128","default","False","00002","0","32163008","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","6.620499134063721","6.696946144104004"
"2026-01-18 20:39:52","39.4min","36e88a099c2340158623d8631dfc45f9","00001","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","OpenImagesV7-50","[0.4781086  0.44886943 0.41601361]","[0.2263493  0.22213829 0.22389417]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-50","rbfn-ssl-projector-default_open-images-v7-50","224","2.4","logs","0.9","True","50","32","LARS","True","","","","2048","2048","2","128","default","False","00001","0","27966656","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","6.620190143585205","6.652559757232666"
