"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","architecture","backbone","base_learning_rate","batch_size","dataset_dir","dataset_name","dataset_stats/mean","dataset_stats/std","devices","epochs","eval_batch_size","eval_epochs","eval_learning_rate","eval_test_perc","eval_train_perc","eval_val_perc","eval_weight_decay","experiment_eval_name","experiment_name","img_size","learning_rate","log_dir","momentum","normalize","num_classes","num_workers","optimizer","pin_memory","prediction_head_hidden_dim","prediction_head_input_dim","prediction_head_output_dim","projection_head_hidden_dim","projection_head_input_dim","projection_head_num_layers","projection_head_output_dim","projection_head_type","rbfn_prediction_head_norm_function","rbfn_prediction_head_normalization","rbfn_prediction_head_num_kernels","rbfn_prediction_head_radial_function","rbfn_projection_head_norm_function","rbfn_projection_head_normalize","rbfn_projection_head_num_kernels","rbfn_projection_head_radial_function","run_name","ssl_non_trainable_params","ssl_trainable_params","temperature","test_perc","train_perc","use_mlflow","val_perc","weight_decay","weights","epoch","train_loss","val_loss"
"2026-02-24 07:47:02","1.5h","a637a9044d7846038dd8f9c96d8a8f9e","00048","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","ImageNet100","[0.48269547 0.45477903 0.40135844]","[0.23322087 0.22798806 0.22758135]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-rbfn-eval_imagenet-100","rbfn-ssl-projector-rbfn_imagenet-100","224","2.4","logs","0.9","True","100","32","LARS","True","","","","2048","2048","3","128","rbfn","","","","","euclidian","False","128","tps","00048","0","33211840","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","6.882452964782715","6.8710408210754395"
"2026-02-24 05:49:12","1.5h","626779bfdb004c14868892814e8697e8","00047","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","ImageNet100","[0.48269547 0.45477903 0.40135844]","[0.23322087 0.22798806 0.22758135]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-rbfn-eval_imagenet-100","rbfn-ssl-projector-rbfn_imagenet-100","224","2.4","logs","0.9","True","100","32","LARS","True","","","","2048","2048","3","128","rbfn","","","","","euclidian","True","128","tps","00047","0","33211840","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","8.317521095275879","8.261180877685547"
"2026-02-24 03:49:51","1.6h","56bcf649ce9f4a149beaac98a79e16d3","00046","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","ImageNet100","[0.48269547 0.45477903 0.40135844]","[0.23322087 0.22798806 0.22758135]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-rbfn-eval_imagenet-100","rbfn-ssl-projector-rbfn_imagenet-100","224","2.4","logs","0.9","True","100","32","LARS","True","","","","2048","2048","3","128","rbfn","","","","","euclidian","False","128","multiquadric","00046","0","33211840","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","6.885152816772461","6.892385959625244"
"2026-02-24 01:50:57","1.6h","dde7f8d35ece4a82b22133d960fa07e7","00045","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","ImageNet100","[0.48269547 0.45477903 0.40135844]","[0.23322087 0.22798806 0.22758135]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-rbfn-eval_imagenet-100","rbfn-ssl-projector-rbfn_imagenet-100","224","2.4","logs","0.9","True","100","32","LARS","True","","","","2048","2048","3","128","rbfn","","","","","euclidian","True","128","multiquadric","00045","0","33211840","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","8.317521095275879","8.261180877685547"
"2026-02-23 23:54:00","1.6h","64655efdb5ec45b3bd80aa81627072a5","00044","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","ImageNet100","[0.48269547 0.45477903 0.40135844]","[0.23322087 0.22798806 0.22758135]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-rbfn-eval_imagenet-100","rbfn-ssl-projector-rbfn_imagenet-100","224","2.4","logs","0.9","True","100","32","LARS","True","","","","2048","2048","3","128","rbfn","","","","","euclidian","False","128","inverse_multiquadric","00044","0","33211840","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","8.317521095275879","8.261180877685547"
"2026-02-23 21:58:36","1.5h","9719b2f089114fc3a0794b5897dd5468","00043","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","ImageNet100","[0.48269547 0.45477903 0.40135844]","[0.23322087 0.22798806 0.22758135]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-rbfn-eval_imagenet-100","rbfn-ssl-projector-rbfn_imagenet-100","224","2.4","logs","0.9","True","100","32","LARS","True","","","","2048","2048","3","128","rbfn","","","","","euclidian","True","128","inverse_multiquadric","00043","0","33211840","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","8.317521095275879","8.261180877685547"
"2026-02-23 20:02:12","1.5h","b20c0f76647d4c528f369e825a9041ee","00042","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","ImageNet100","[0.48269547 0.45477903 0.40135844]","[0.23322087 0.22798806 0.22758135]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-rbfn-eval_imagenet-100","rbfn-ssl-projector-rbfn_imagenet-100","224","2.4","logs","0.9","True","100","32","LARS","True","","","","2048","2048","3","128","rbfn","","","","","euclidian","False","128","gaussian","00042","0","33211840","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","8.317521095275879","8.261180877685547"
"2026-02-23 18:06:04","1.5h","3d0a04467c2b4104825a311a482513b8","00041","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","ImageNet100","[0.48269547 0.45477903 0.40135844]","[0.23322087 0.22798806 0.22758135]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-rbfn-eval_imagenet-100","rbfn-ssl-projector-rbfn_imagenet-100","224","2.4","logs","0.9","True","100","32","LARS","True","","","","2048","2048","3","128","rbfn","","","","","euclidian","True","128","gaussian","00041","0","33211840","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","8.317521095275879","8.261180877685547"
"2026-02-23 16:09:49","1.5h","4c9e7270467846bc846a77a59a3f6b70","00040","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","ImageNet100","[0.48269547 0.45477903 0.40135844]","[0.23322087 0.22798806 0.22758135]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-rbfn-eval_imagenet-100","rbfn-ssl-projector-rbfn_imagenet-100","224","2.4","logs","0.9","True","100","32","LARS","True","","","","2048","2048","3","128","rbfn","","","","","euclidian","False","256","tps","00040","0","34260672","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","6.8803606033325195","6.887361526489258"
"2026-02-23 14:12:58","1.6h","347c36c56b1049f49cdb4db51678d070","00039","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","ImageNet100","[0.48269547 0.45477903 0.40135844]","[0.23322087 0.22798806 0.22758135]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-rbfn-eval_imagenet-100","rbfn-ssl-projector-rbfn_imagenet-100","224","2.4","logs","0.9","True","100","32","LARS","True","","","","2048","2048","3","128","rbfn","","","","","euclidian","True","256","tps","00039","0","34260672","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","8.317521095275879","8.261180877685547"
