"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","architecture","backbone","base_learning_rate","batch_size","dataset_dir","dataset_name","dataset_stats/mean","dataset_stats/std","devices","epochs","eval_batch_size","eval_epochs","eval_learning_rate","eval_test_perc","eval_train_perc","eval_val_perc","eval_weight_decay","experiment_eval_name","experiment_name","img_size","learning_rate","log_dir","momentum","normalize","num_classes","num_workers","optimizer","pin_memory","prediction_head_hidden_dim","prediction_head_input_dim","prediction_head_output_dim","projection_head_hidden_dim","projection_head_input_dim","projection_head_num_layers","projection_head_output_dim","projection_head_type","rbfn_projection_head_normalize","run_name","ssl_non_trainable_params","ssl_trainable_params","temperature","test_perc","train_perc","use_mlflow","val_perc","weight_decay","weights","epoch","train_loss","val_loss"
"2026-01-27 20:52:31","1.1h","73b37b563e59408bac31c413a4fbb997","00009","LOCAL","main.py","mlflow","FINISHED","swav","resnet50","0.6","2048","/mnt/datasets","OpenImagesV7-10","[0.46987062 0.44324817 0.40592981]","[0.22683077 0.22199118 0.2293243 ]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-10","rbfn-ssl-projector-default_open-images-v7-10","224","4.8","logs","0.9","True","10","32","LARS","True","","","","2048","2048","2","128","default","False","00009","0","28232896","","0.2","0.7","True","0.1","1e-06","DEFAULT","99","3.7752437591552734","5.195450305938721"
"2026-01-27 19:54:05","50.8min","afe69e2e8ff24805a19952300314ecd9","00008","LOCAL","main.py","mlflow","FINISHED","byol","resnet50","0.2","2048","/mnt/datasets","OpenImagesV7-10","[0.46987062 0.44324817 0.40592981]","[0.22683077 0.22199118 0.2293243 ]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-10","rbfn-ssl-projector-default_open-images-v7-10","224","1.6","logs","0.9","True","10","32","LARS","True","4096","256","256","4096","2048","2","256","default","False","00008","32953664","35059264","","0.2","0.7","True","0.1","1.5e-06","DEFAULT","99","'-0.9138588905334473","'-0.8770394921302795"
"2026-01-27 18:58:35","47.9min","45753cf5940349f38b89c1b5296d57f0","00007","LOCAL","main.py","mlflow","FINISHED","moco","resnet50","0.03","256","/mnt/datasets","OpenImagesV7-10","[0.46987062 0.44324817 0.40592981]","[0.22683077 0.22199118 0.2293243 ]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-10","rbfn-ssl-projector-default_open-images-v7-10","224","0.03","logs","0.9","True","10","32","SGD","True","","","","2048","2048","4","128","default","False","00007","36359360","36359360","0.2","0.2","0.7","True","0.1","0.0001","DEFAULT","99","4.146539688110352","4.246007919311523"
"2026-01-27 18:06:21","44.6min","5f277ee4b3de410a98fe4c327803ed57","00006","LOCAL","main.py","mlflow","FINISHED","moco","resnet50","0.03","256","/mnt/datasets","OpenImagesV7-10","[0.46987062 0.44324817 0.40592981]","[0.22683077 0.22199118 0.2293243 ]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-10","rbfn-ssl-projector-default_open-images-v7-10","224","0.03","logs","0.9","True","10","32","SGD","True","","","","2048","2048","3","128","default","False","00006","32163008","32163008","0.2","0.2","0.7","True","0.1","0.0001","DEFAULT","99","4.146951675415039","4.237064838409424"
"2026-01-27 17:15:10","43.6min","872c816e7e304f8294ed457b4f77ba4a","00005","LOCAL","main.py","mlflow","FINISHED","moco","resnet50","0.03","256","/mnt/datasets","OpenImagesV7-10","[0.46987062 0.44324817 0.40592981]","[0.22683077 0.22199118 0.2293243 ]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-10","rbfn-ssl-projector-default_open-images-v7-10","224","0.03","logs","0.9","True","10","32","SGD","True","","","","2048","2048","2","128","default","False","00005","27966656","27966656","0.2","0.2","0.7","True","0.1","0.0001","DEFAULT","99","4.14075231552124","4.233443260192871"
"2026-01-27 16:27:24","40.0min","09ab385ce97749c290ff7b7547f28532","00004","LOCAL","main.py","mlflow","FINISHED","simsiam","resnet50","0.05","512","/mnt/datasets","OpenImagesV7-10","[0.46987062 0.44324817 0.40592981]","[0.22683077 0.22199118 0.2293243 ]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-10","rbfn-ssl-projector-default_open-images-v7-10","224","0.1","logs","0.9","True","10","32","SGD","True","512","2048","2048","2048","2048","2","2048","default","False","00004","0","38199360","","0.2","0.7","True","0.1","0.0001","DEFAULT","99","'-0.8981170654296875","'-0.8917073607444763"
"2026-01-27 15:37:22","42.4min","f02132eef4a84602af571d30ad403411","00003","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","OpenImagesV7-10","[0.46987062 0.44324817 0.40592981]","[0.22683077 0.22199118 0.2293243 ]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-10","rbfn-ssl-projector-default_open-images-v7-10","224","2.4","logs","0.9","True","10","32","LARS","True","","","","2048","2048","4","128","default","False","00003","0","36359360","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","6.627218723297119","6.781045913696289"
"2026-01-27 14:47:51","41.8min","239550aa845e46c2b99a474fe5931900","00002","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","OpenImagesV7-10","[0.46987062 0.44324817 0.40592981]","[0.22683077 0.22199118 0.2293243 ]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-10","rbfn-ssl-projector-default_open-images-v7-10","224","2.4","logs","0.9","True","10","32","LARS","True","","","","2048","2048","3","128","default","False","00002","0","32163008","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","6.62473726272583","6.746723175048828"
"2026-01-27 13:56:46","43.4min","2af0b18d1549432c97113538bfb8ba34","00001","LOCAL","main.py","mlflow","FINISHED","simclr","resnet50","0.3","2048","/mnt/datasets","OpenImagesV7-10","[0.46987062 0.44324817 0.40592981]","[0.22683077 0.22199118 0.2293243 ]","8","100","64","200","0.001","0.2","0.7","0.1","0.0001","rbfn-ssl-projector-default-eval_open-images-v7-10","rbfn-ssl-projector-default_open-images-v7-10","224","2.4","logs","0.9","True","10","32","LARS","True","","","","2048","2048","2","128","default","False","00001","0","27966656","0.5","0.2","0.7","True","0.1","1e-06","DEFAULT","99","6.623627662658691","6.797630310058594"
